source,target,type
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,2aac7abd-eda1-47af-9ec3-828924163a02,ALLY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,6d30c907-82c7-45a7-a56b-4f091f6aa7e9,ALLY
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,54a64fdf-6d5b-4c0b-b51b-b23407df8652,ALLY
682f57bc-9422-43db-9406-224cda3735fc,54a64fdf-6d5b-4c0b-b51b-b23407df8652,ALLY
eadd8f5e-399a-4aad-8d6b-02eb641dea64,54a64fdf-6d5b-4c0b-b51b-b23407df8652,ALLY
51db3028-6637-42ec-bf24-f249b12a2b40,54a64fdf-6d5b-4c0b-b51b-b23407df8652,ALLY
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,54a64fdf-6d5b-4c0b-b51b-b23407df8652,ENEMY
263a1e51-326b-45f7-91b4-298acbaa6291,9cacdab8-2e9e-4446-a6f6-ff0fe6cfaee7,ALLY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,9cacdab8-2e9e-4446-a6f6-ff0fe6cfaee7,ENEMY
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,ce4e47da-c2e8-4e18-8378-b8db0b0266b9,ALLY
bc7fa871-32e3-4e34-920d-94ab78f2d5c8,ce4e47da-c2e8-4e18-8378-b8db0b0266b9,ENEMY
d4817141-b660-4e4b-881f-7db1d7b6951a,ce4e47da-c2e8-4e18-8378-b8db0b0266b9,ENEMY
36d64e25-fb8b-4307-94c2-7f44b27a24e2,ce4e47da-c2e8-4e18-8378-b8db0b0266b9,ENEMY
be024c4c-cef1-44a0-b24c-a0914393901e,ce4e47da-c2e8-4e18-8378-b8db0b0266b9,ENEMY
a0187414-b115-4109-a5d3-5988ea97e340,2de0dd6a-6e62-45fa-99f3-8a3684ffe147,ALLY
a0a7452d-e210-49e2-a195-1332e0a140a7,d95f9cd5-75bf-45c9-b360-7c3181a3a8e7,ENEMY
c1897cfa-41de-4a88-be0c-a5ba965bf839,d95f9cd5-75bf-45c9-b360-7c3181a3a8e7,ENEMY
